Base,Rating,Prices,cat,Positive,Negative
WiredEar1,4.738481675,5.16,inearwrd,4.75,0.25
WiredEar10,4.830196078,3.58,inearwrd,4.75,0.25
WiredEar11,4.79620915,4.53,inearwrd,4.75,0.25
WiredEar12,4.695163399,4.73,inearwrd,4.75,0.25
WiredEar13,4.736862745,5.81,inearwrd,4.75,0.25
WiredEar14,4.684183007,4.99,inearwrd,4.75,0.25
WiredEar15,4.719607843,3.95,inearwrd,4.75,0.25
WiredEar16,4.612941176,4.46,inearwrd,4.75,0.25
WiredEar17,4.740653595,5.44,inearwrd,4.75,0.25
WiredEar18,4.714771242,6.66,inearwrd,4.75,0.25
WiredEar19,4.818562092,5.71,inearwrd,4.75,0.25
WiredEar2,4.732156863,4.89,inearwrd,4.75,0.25
WiredEar20,4.795816993,7.29,inearwrd,4.75,0.25
WiredEar21,4.830198675,11.86,inearwrd,4.75,0.25
WiredEar3,4.741437908,5.36,inearwrd,4.75,0.25
WiredEar4,4.774379085,4.72,inearwrd,4.75,0.25
WiredEar5,4.810065359,4.67,inearwrd,4.75,0.25
WiredEar6,4.74248366,5.70,inearwrd,4.75,0.25
WiredEar7,4.721960784,6.61,inearwrd,4.75,0.25
WiredEar8,4.769411765,4.04,inearwrd,4.75,0.25
WiredEar9,4.824705882,5.17,inearwrd,4.75,0.25
WiredHead1,4.800628931,15.32,ovrearwrd,4.76,0.24
WiredHead10,4.82734375,9.73,ovrearwrd,4.76,0.24
WiredHead11,4.825,13.93,ovrearwrd,4.76,0.24
WiredHead12,4.764912281,9.98,ovrearwrd,4.76,0.24
WiredHead13,4.790384615,10.26,ovrearwrd,4.76,0.24
WiredHead14,4.719014085,18.85,ovrearwrd,4.76,0.24
WiredHead15,4.496585366,8.81,ovrearwrd,4.76,0.24
WiredHead16,4.548666667,6.05,ovrearwrd,4.76,0.24
WiredHead17,4.850359712,18.11,ovrearwrd,4.76,0.24
WiredHead18,4.793902439,15.89,ovrearwrd,4.76,0.24
WiredHead19,4.78880597,15.51,ovrearwrd,4.76,0.24
WiredHead2,4.783870968,9.26,ovrearwrd,4.76,0.24
WiredHead20,4.824166667,11.18,ovrearwrd,4.76,0.24
WiredHead21,4.754032258,15.25,ovrearwrd,4.76,0.24
WiredHead3,4.715286624,11.07,ovrearwrd,4.76,0.24
WiredHead4,4.755970149,22.04,ovrearwrd,4.76,0.24
WiredHead5,4.73626943,13.59,ovrearwrd,4.76,0.24
WiredHead6,4.791542289,14.37,ovrearwrd,4.76,0.24
WiredHead7,4.850505051,12.98,ovrearwrd,4.76,0.24
WiredHead8,4.848734177,10.67,ovrearwrd,4.76,0.24
WiredHead9,4.902985075,8.85,ovrearwrd,4.76,0.24
WrlsHead1,4.757643312,14.22,ovrearwrls,4.75,0.25
WrlsHead10,4.771084337,15.95,ovrearwrls,4.75,0.25
