Base,Rating,Prices,cat,Positive,Negative
WiredEar1,4.05,24.80,inearwrd,4.290392654,0.7
WiredEar10,4.002957486,38.55,inearwrd,4.291342822,0.7
WiredEar11,3.894824399,35.66,inearwrd,4.292487208,0.7
WiredEar12,3.812754159,34.39,inearwrd,4.294071522,0.7
WiredEar13,4.222324723,27.88,inearwrd,4.295996792,0.7
WiredEar14,4.409409594,41.06,inearwrd,4.296292664,0.7
WiredEar15,4.377818854,44.70,inearwrd,4.295836547,0.7
WiredEar16,3.894475138,39.84,inearwrd,4.295504635,0.7
WiredEar17,3.818450185,38.66,inearwrd,4.297134836,0.7
WiredEar18,4.161070111,33.34,inearwrd,4.299088651,0.7
WiredEar19,4.409242144,45.59,inearwrd,4.299654301,0.7
WiredEar2,3.970609982,33.16,inearwrd,4.299203322,0.7
WiredEar20,4.422651934,42.15,inearwrd,4.300561146,0.7
WiredEar21,4.266666667,123.44,inearwrd,4.300054545,0.7
WiredEar3,3.890405904,40.30,inearwrd,4.300193661,0.7
WiredEar4,3.898521257,43.17,inearwrd,4.301908254,0.7
WiredEar5,3.729205176,38.60,inearwrd,4.303603157,0.7
WiredEar6,3.618232044,27.76,inearwrd,4.306026778,0.7
WiredEar7,3.90295203,29.70,inearwrd,4.308941162,0.7
WiredEar8,4.060443623,41.39,inearwrd,4.310668775,0.7
WiredEar9,4.030258303,44.09,inearwrd,4.311738114,0.7
WiredHead1,4.528688525,89.42,ovrearwrd,4.312946181,0.7
WiredHead10,4.140248963,73.71,ovrearwrd,4.312016258,0.7
WiredHead11,3.988979592,68.28,ovrearwrd,4.312759839,0.7
WiredHead12,3.328278689,49.17,ovrearwrd,4.314167579,0.7
WiredHead13,4.444897959,89.27,ovrearwrd,4.318472771,0.7
WiredHead14,4.340329218,88.79,ovrearwrd,4.317918274,0.7
WiredHead15,4.199180328,76.69,ovrearwrd,4.317819548,0.7
WiredHead16,4.106276151,71.74,ovrearwrd,4.3183445,0.7
WiredHead17,3.966803279,66.95,ovrearwrd,4.319287026,0.7
WiredHead18,3.867346939,62.63,ovrearwrd,4.320860614,0.7
WiredHead19,4.429387755,104.75,ovrearwrd,4.322894308,0.7
WiredHead2,4.320987654,84.29,ovrearwrd,4.322414608,0.7
WiredHead20,4.273251029,73.68,ovrearwrd,4.322421064,0.7
WiredHead21,4.361344538,69.15,ovrearwrd,4.322644565,0.7
