Base,Rating,Prices,cat,Positive,Negative
WiredEar1,3.5612851410000004,4.031726908,inearwrd,4.82,0.18
WiredEar10,4.63164,3.9072,inearwrd,4.82,0.18
WiredEar11,3.9544,4.1372,inearwrd,4.82,0.18
WiredEar12,3.8912,3.9496,inearwrd,4.82,0.18
WiredEar13,3.10268,3.9552,inearwrd,4.82,0.18
WiredEar14,4.753089005,4.145026178,inearwrd,4.82,0.18
WiredEar2,4.45708,4.0324,inearwrd,4.82,0.18
WiredEar3,3.60592,4.11,inearwrd,4.82,0.18
WiredEar4,3.30016,3.8784,inearwrd,4.82,0.18
WiredEar5,3.765,3.8984,inearwrd,4.82,0.18
WiredEar6,3.2981199999999995,3.9652,inearwrd,4.82,0.18
WiredEar7,3.9532800000000003,3.9496,inearwrd,4.82,0.18
WiredEar8,3.06528,3.9256,inearwrd,4.82,0.18
WiredEar9,3.6967199999999996,3.8816,inearwrd,4.82,0.18
WrdHead1,3.5,3.84,ovrearwrd,4.82,0.18
WrdHead10,3.5,4.465789474,ovrearwrd,4.82,0.18
WrdHead11,3.5,4.356578947,ovrearwrd,4.82,0.18
WrdHead12,3.5,4.4026315789999995,ovrearwrd,4.82,0.18
WrdHead13,3.5,4.461842105,ovrearwrd,4.82,0.18
WrdHead14,3.5,4.573684211000001,ovrearwrd,4.82,0.18
WrdHead15,3.5,4.698684211000001,ovrearwrd,4.82,0.18
WrdHead16,3.5,4.660526316,ovrearwrd,4.3,0.7
WrdHead17,3.5,4.697368421,ovrearwrd,4.3,0.7
WrdHead18,3.5,4.653947368,ovrearwrd,4.3,0.7
WrdHead19,3.5,4.8815789469999995,ovrearwrd,4.3,0.7
WrdHead2,3.5,3.9315789469999998,ovrearwrd,4.3,0.7
WrdHead20,3.5,4.953947368,ovrearwrd,4.3,0.7
WrdHead21,3.5,5.0,ovrearwrd,4.3,0.7
WrdHead22,3.5,4.4344,ovrearwrd,4.3,0.7
WrdHead3,3.5,3.744736842,ovrearwrd,4.3,0.7
WrdHead4,3.5,4.2644736839999995,ovrearwrd,4.3,0.7
WrdHead5,3.5,4.335526316,ovrearwrd,4.3,0.7
WrdHead6,3.5,4.281578947,ovrearwrd,4.3,0.7
