Base,Prices,Rating,cat,Positive,Negative
WrlsHead9,8.88,3.56313253,ovrearwrls,3.87,1.23
WrlsHead9,19.46,3.68128655,ovrearwrls,3.87,1.23
WrlsHead8,15.94,3.714148681,ovrearwrls,3.87,1.23
WrlsHead8,33.54,3.89122807,ovrearwrls,3.87,1.23
WrlsHead7,13.19,4.189208633,ovrearwrls,3.87,1.23
WrlsHead7,29.24,3.977192982,ovrearwrls,3.87,1.23
WrlsHead6,18.39,3.982494005,ovrearwrls,3.87,1.23
WrlsHead6,29.08,3.522352941,ovrearwrls,3.87,1.23
WrlsHead5,16.12,3.406954436,ovrearwrls,3.87,1.23
WrlsHead5,23.18,3.690588235,ovrearwrls,3.87,1.23
WrlsHead4,26.07,3.467146283,ovrearwrls,3.87,1.23
WrlsHead4,23.90,3.770760234,ovrearwrls,3.87,1.23
WrlsHead3,26.14,3.612230216,ovrearwrls,3.87,1.23
WrlsHead3,20.32,3.774117647,ovrearwrls,3.87,1.23
WrlsHead21,7.83,3.357692308,ovrearwrls,3.87,1.23
WrlsHead21,19.63,2.619018405,ovrearwrls,3.87,1.23
WrlsHead20,7.25,3.205060241,ovrearwrls,3.87,1.23
WrlsHead20,22.88,3.062352941,ovrearwrls,3.87,1.23
WrlsHead2,18.98,3.63117506,ovrearwrls,3.87,1.23
WrlsHead2,33.60,3.947953216,ovrearwrls,3.87,1.23
WrlsHead19,7.51,3.262891566,ovrearwrls,3.87,1.23
WrlsHead19,15.84,3.335672515,ovrearwrls,3.87,1.23
WrlsHead18,11.42,3.483213429,ovrearwrls,3.87,1.23
WrlsHead18,29.31,3.52,ovrearwrls,3.87,1.23
WrlsHead17,14.98,3.65323741,ovrearwrls,3.87,1.23
WrlsHead17,17.44,3.618823529,ovrearwrls,3.87,1.23
WrlsHead16,7.15,3.406746988,ovrearwrls,3.87,1.23
WrlsHead16,20.25,3.649122807,ovrearwrls,3.87,1.23
WrlsHead15,6.93,3.276201923,ovrearwrls,3.87,1.23
WrlsHead15,39.46,3.940935673,ovrearwrls,3.87,1.23
WrlsHead14,8.35,3.337108434,ovrearwrls,3.87,1.23
WrlsHead14,22.02,3.659649123,ovrearwrls,3.87,1.23
WrlsHead13,14.62,3.583213429,ovrearwrls,3.87,1.23
WrlsHead13,22.03,3.111176471,ovrearwrls,3.87,1.23
WrlsHead12,11.64,3.690361446,ovrearwrls,3.87,1.23
WrlsHead12,17.71,3.407602339,ovrearwrls,3.87,1.23
WrlsHead11,8.35,3.561778846,ovrearwrls,3.87,1.23
WrlsHead11,26.15,3.525882353,ovrearwrls,3.87,1.23
WrlsHead10,7.47,3.509879518,ovrearwrls,3.87,1.23
WrlsHead10,21.23,3.629411765,ovrearwrls,3.87,1.23
WrlsHead1,38.57,3.973798077,ovrearwrls,3.87,1.23
WrlsHead1,28.72,3.995882353,ovrearwrls,3.87,1.23
WrdHead9,11.94,3.5,ovrearwrd,3.87,1.23
WrdHead8,9.48,3.422222222,ovrearwrd,3.87,1.23
WrdHead7,10.29,3.463636364,ovrearwrd,3.87,1.23
WrdHead6,12.32,3.55,ovrearwrd,3.87,1.23
WrdHead5,19.21,3.626315789,ovrearwrd,3.87,1.23
WrdHead4,14.12,3.816666667,ovrearwrd,3.87,1.23
WrdHead3,19.24,3.68125,ovrearwrd,3.87,1.23
WrdHead22,5.39,3.6,ovrearwrd,3.87,1.23
WrdHead21,58.88,3.038888889,ovrearwrd,3.87,1.23
WrdHead20,9.26,2.776923077,ovrearwrd,3.87,1.23
